"name_ovd","address","coordinate_google","coordinate_yandex"
"Покров | ФКУ «ИК № 2 УФСИН по Владимирской области»","ул. Франка Штольверка, д. 6, Покров, Владимирская обл., Россия, 601122","55.903829,39.183762","55.905164,39.183408"
"Владимир | ФКУ «ИК № 3 УФСИН по Владимирской области»","ул. Полины Осипенко, 49, Владимир, Владимирская обл., Россия, 600009","56.153657,40.41184","56.159228,40.408261"
"Вязники | ФКУ «ИК № 4 УФСИН по Владимирской области»","Железнодорожная ул., 37, Вязники, Владимирская обл., Россия, 601440","56.22937,42.112151","56.228926,42.111898"
"п. Мелехово | ФКУ «ИК № 6 УФСИН по Владимирской области»","Первомайская ул., 261а, Мелехово, Владимирская обл., Россия, 601967","56.255768,41.314046","56.255923,41.314849"
"п. Пакино | ФКУ «ИК № 7 УФСИН по Владимирской области»","Центральная улица, 1А, посёлок Пакино, Владимирская область, 601960","56.363976,41.233449","56.36285,41.237091"
"д. Чудиново | ФКУ «КП № 9 УФСИН по Владимирской области»","Полевая улица, 36, деревня Чудиново, Владимирская область, 601435","56.240338,42.066384","56.240963,42.06938"
"ФКУ СИЗО-1 УФСИН России по Владимирской области | Владимирская область","ул. 9 Января, 5 A, Владимир, Владимирская обл., Россия, 600021","56.125737,40.375168","56.126674,40.374232"
"ФКУ СИЗО-3 УФСИН России по Владимирской области | Владимирская область","п.Труда, д.1, Кольчугино, Владимирская обл., Россия, 601785","56.298429,39.397958","56.297043,39.396767"
"Владимир | ФКУ «Тюрьма № 2 УФСИН по Владимирской области» «Владимирский централ»","Большая Нижегородская ул., 67, Владимир, Владимирская обл., Россия, 600020","56.141104,40.434296","56.141031,40.434285"
"Волгоградская психиатрическая больница (стационар) специализированного типа","ул Микрорайон, зд. 22а, с Дворянское, Волгоградская область, 403843","50.240653,45.286646","50.253235,45.277561"
"Волгоград | ФКУ ИК № 9 УФСИН России по Волгоградской области","ул. Костюченко, 12, Волгоград, Волгоградская обл., Россия, 400058","48.839108,44.557934","48.838461,44.557327"
"Волжский | ФКУ ИК № 12 УФСИН России по Волгоградской области","ул. Александрова, 86, Волжский, Волгоградская обл., Россия, 404117","48.823981,44.86584","48.823949,44.865872"
"Суровикино | ФКУ ИК № 19 УФСИН России по Волгоградской области","ул. Орджоникидзе, 99, Суровикино, Волгоградская обл., Россия, 404412","48.6089,42.876899","48.608889,42.876966"
"Волгоград | ФКУ ИК № 26 УФСИН России по Волгоградской области","ул. Довженко, 34, Волгоград, Волгоградская обл., Россия, 400080","48.485382,44.59123","48.486518,44.58937"
"Ленинск | ФКУ ИК № 28 УФСИН России по Волгоградской области","ул. Промышленная, д. 12, г. Ленинск, Волгоградская обл., Россия, 404621","48.70441,45.190023","48.729031,45.206738"
"Волгоград | ФКУ КП № 3 УФСИН России по Волгоградской области","Промысловая ул., 24, Волгоград, Волгоградская обл., Россия, 400032","48.552873,44.462292","48.554644,44.460785"
"Ленинск | ФКУ КП № 27 УФСИН России по Волгоградской области","Промышленная улица, 24, Ленинск, Волгоградская область, 404620","48.70441,45.190023","48.736162,45.204896"
"Урюпинск | ФКУ ЛИУ № 23 УФСИН России по Волгоградской области","микрорайон Гора Восточная, 151, Урюпинск, Волгоградская область, 403120","50.800825,42.033986","50.776305,42.021949"
"ФКУ СИЗО-1 УФСИН России по Волгоградской области | Волгоградская область","Голубинская ул., 3, Волгоград, Волгоградская обл., Россия, 400066","48.711787,44.501221","48.711514,44.501174"
"ФКУ СИЗО-3 УФСИН России по Волгоградской области | Волгоградская область","ул. Хлеборобная д. 107/1, г. Фролово, Волгоградская обл., Россия, 403532","49.77417,43.683535","49.780405,43.687803"
"ФКУ СИЗО-4 УФСИН России по Волгоградской области | Волгоградская область","ул. Довженко, 34Б, Волгоград, Волгоградская обл., Россия, 400080","48.485462,44.591121","48.485431,44.591176"
"ФКУ СИЗО-5 УФСИН России по Волгоградской области | Волгоградская область","ул. Промышленная, 12, Ленинск, Волгоградская обл., Россия, 404621","48.70441,45.190023","48.729031,45.206738"
"Вологда | ФКУ «ИК № 1 УФСИН России по Вологодской области»","ул. Левичева, 1/А, Вологда, Вологодская обл., Россия, 160012","59.20727,39.915572","59.207941,39.916622"
"д. Княгинино | ФКУ «ИК № 2 УФСИН России по Вологодской области»","д. Княгинино, д. 16, Вологодская область, 160503","59.870671,40.655541","59.795958,40.669185"
"д. Остров Сладкий | ФКУ «ИК № 5 УФСИН России по Вологодской области» «Вологодский пятак»","остров Огненный, д. 16, дер. Остров Сладкий, Вологодская обл., Россия, 161222","59.954005,37.237809","59.954178,37.23763"
"п. Шексна | ФКУ «ИК № 12 УФСИН России по Вологодской области»","ул. Шоссейная, Шексна, Вологодская обл., Россия, 162562","59.223108,38.511027","59.226634,38.50862"
"п. Шексна | ФКУ «ИК № 17 УФСИН России по Вологодской области»","улица Дзержинского, 6, рабочий посёлок Шексна, Вологодская область, 162560","59.200578,38.476289","59.199504,38.473586"
"Устюжна | ФКУ «ИК № 20 УФСИН России по Вологодской области»","ул. Карла Маркса, 57, Устюжна, Вологодская обл., Россия, 162840","58.840201,36.452366","58.839621,36.454479"
"п. Суда | ФКУ «КП № 7 УФСИН России по Вологодской области»","ул. Заря д. 11, п. Суда, Череповецкий р-н, Вологодская область, 162700","59.1526,37.562463","59.152886,37.56945"
"ФКУ СИЗО-2 УФСИН России по Вологодской области | Вологодская область","Трудовая ул., 2, Вологда, Вологодская обл., Россия, 160019","59.235751,39.898685","59.235759,39.898682"
"ФКУ СИЗО-3 УФСИН России по Вологодской области | Вологодская область","Северное ш., 67В, Череповец, Вологодская обл., Россия, 163624","59.155669,37.796626","59.155904,37.796948"
"Вологда | ФКЛПУ «МБ № 10 УФСИН России по Вологодской области»","Советский проспект, 73, Вологда, Вологодская обл., Россия, 160012","59.206683,39.916354","59.206766,39.916253"
"Воронеж | ФКУ «ИК № 2 УФСИН по Воронежской области»","ул. 3-го Интернационала, д. 17, г. Воронеж, Воронежская обл., Россия, 394030","51.419276,39.612375","51.676376,39.187621"
"Россошь | ФКУ «ИК № 8 УФСИН по Воронежской области»","ул. Кирпичный завод, д. 5, г. Россошь, Воронежская обл., Россия, 396653","50.177395,39.620061","50.19174,39.604448"
"п. Перелешино | ФКУ «КП № 10 УФСИН по Воронежской области»","ул. Мира, д. 71А, пос. Перелешино, Воронежская обл., Россия, 396180","51.738638,40.134866","51.73271,40.147929"
"ФКУ СИЗО-1 УФСИН России по Воронежской области | Воронежская область","ул. Желябова, 56, Воронеж, Воронежская обл., Россия, 394030","51.674834,39.187593","51.675008,39.187765"
"ФКУ СИЗО-3 УФСИН России по Воронежской области | Воронежская область","ул. Антокольского, 6, Воронеж, Воронежская обл., Россия, 394062","51.660893,39.126242","51.658266,39.126374"
